,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
39,AAPL220114C00235000,2021-12-13 18:14:19,235.0,0.22,0.12,0.31,0.03999999,22.222216,17.0,18,0.507817421875,False,REGULAR,USD
40,AAPL220114C00240000,2021-12-13 17:55:46,240.0,0.19,0.07,0.4,0.03999999,26.666658,161.0,223,0.514653291015625,False,REGULAR,USD
41,AAPL220114C00245000,2021-12-13 20:56:50,245.0,0.13,0.08,0.13,0.0,0.0,133.0,174,0.499028447265625,False,REGULAR,USD
0,AAPL220114P00105000,2021-12-07 16:40:49,105.0,0.09,0.02,0.07,0.0,0.0,1.0,3,0.6796907031250001,False,REGULAR,USD
1,AAPL220114P00110000,2021-12-10 20:59:39,110.0,0.08,0.02,0.08,0.0,0.0,2.0,3,0.6289099609375001,False,REGULAR,USD
2,AAPL220114P00115000,2021-12-13 19:11:59,115.0,0.09,0.04,0.11,-0.019999996,-18.181814,105.0,101,0.6035195898437502,False,REGULAR,USD
3,AAPL220114P00120000,2021-12-13 15:38:06,120.0,0.13,0.05,0.14,-0.02000001,-13.33334,5.0,8,0.5664105859375,False,REGULAR,USD
4,AAPL220114P00125000,2021-12-13 17:32:12,125.0,0.16,0.08,0.17,-0.010000005,-5.882356,1.0,3,0.5312546875,False,REGULAR,USD
5,AAPL220114P00130000,2021-12-13 17:12:17,130.0,0.21,0.13,0.21,0.0,0.0,27.0,114,0.51562984375,False,REGULAR,USD
6,AAPL220114P00135000,2021-12-13 16:36:09,135.0,0.28,0.13,0.34,-0.00999999,-3.4482725,3.0,20,0.500005,False,REGULAR,USD
7,AAPL220114P00140000,2021-12-13 18:08:40,140.0,0.35,0.2,0.44,0.00999999,2.9411738,127.0,192,0.4643608251953125,False,REGULAR,USD
8,AAPL220114P00141000,2021-12-13 19:20:20,141.0,0.37,0.19,0.48,-0.09,-19.565218,6.0,271,0.46045461425781253,False,REGULAR,USD
9,AAPL220114P00142000,2021-12-13 15:23:52,142.0,0.37,0.2,0.5,-0.049999982,-11.904758,5.0,468,0.45215391601562505,False,REGULAR,USD
10,AAPL220114P00143000,2021-12-10 20:47:28,143.0,0.41,0.21,0.53,0.030000001,7.8947372,9.0,84,0.4458063232421875,False,REGULAR,USD
11,AAPL220114P00144000,2021-12-10 20:00:06,144.0,0.42,0.23,0.56,0.0,0.0,4.0,47,0.4387263159179688,False,REGULAR,USD
12,AAPL220114P00145000,2021-12-13 20:51:42,145.0,0.5,0.25,0.52,0.08000001,19.047623,88.0,115,0.4194393994140625,False,REGULAR,USD
13,AAPL220114P00146000,2021-12-13 16:07:35,146.0,0.52,0.27,0.65,0.06999999,15.555554,9.0,41,0.428716650390625,False,REGULAR,USD
14,AAPL220114P00147000,2021-12-13 20:59:00,147.0,0.58,0.29,0.69,0.099999994,20.833332,1.0,39,0.42212491943359376,False,REGULAR,USD
15,AAPL220114P00148000,2021-12-13 20:59:56,148.0,0.67,0.31,0.75,0.04000002,6.34921,6.0,172,0.41797457031249996,False,REGULAR,USD
16,AAPL220114P00149000,2021-12-10 20:54:26,149.0,0.56,0.33,0.8,0.0,0.0,8.0,32,0.4118711157226562,False,REGULAR,USD
17,AAPL220114P00150000,2021-12-13 20:57:02,150.0,0.75,0.58,0.8,0.14999998,24.999996,181.0,524,0.39893179199218753,False,REGULAR,USD
18,AAPL220114P00152500,2021-12-13 20:53:13,152.5,0.93,0.31,5.0,0.13999999,17.721518,12.0,262,0.5376022802734376,False,REGULAR,USD
19,AAPL220114P00155000,2021-12-13 20:59:32,155.0,1.15,0.55,1.22,0.28999996,33.720924,271.0,398,0.37879039184570307,False,REGULAR,USD
20,AAPL220114P00157500,2021-12-13 20:59:00,157.5,1.38,0.81,5.0,0.24000001,21.052633,123.0,225,0.6098671826171876,False,REGULAR,USD
21,AAPL220114P00160000,2021-12-13 20:59:40,160.0,1.79,1.3,1.86,0.54999995,44.354836,673.0,1420,0.3601138208007812,False,REGULAR,USD
22,AAPL220114P00162500,2021-12-13 20:59:59,162.5,1.68,1.51,2.34,-0.100000024,-5.6179786,152.0,295,0.3544986425781249,False,REGULAR,USD
23,AAPL220114P00165000,2021-12-13 20:58:15,165.0,2.74,2.61,3.1,0.75,37.688442,472.0,771,0.35999175170898434,False,REGULAR,USD
24,AAPL220114P00167500,2021-12-13 20:59:59,167.5,3.0,1.0,3.5,0.51,20.481928,263.0,161,0.33789724609375,False,REGULAR,USD
25,AAPL220114P00170000,2021-12-13 20:59:59,170.0,4.15,4.0,4.35,1.1500001,38.333336,984.0,712,0.33521172607421873,False,REGULAR,USD
26,AAPL220114P00172500,2021-12-13 20:59:41,172.5,5.2,4.25,5.3,1.5499997,42.465744,347.0,343,0.3306951696777344,False,REGULAR,USD
