,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
1,FB220114P00205000,2021-12-13 15:14:34,205.0,0.04,0.01,0.2,0.0,0.0,1.0,0,0.648441015625,False,REGULAR,USD
2,FB220114P00220000,2021-12-07 14:54:57,220.0,0.41,0.14,0.21,0.0,0.0,,1,0.596683720703125,False,REGULAR,USD
3,FB220114P00225000,2021-12-13 14:54:46,225.0,0.12,0.16,0.24,0.0,0.0,2.0,2,0.577152666015625,False,REGULAR,USD
4,FB220114P00230000,2021-12-09 15:28:38,230.0,0.19,0.07,0.26,0.0,0.0,3.0,3,0.534184345703125,False,REGULAR,USD
5,FB220114P00235000,2021-12-13 19:52:28,235.0,0.15,0.23,0.3,0.0,0.0,8.0,8,0.5395553857421876,False,REGULAR,USD
6,FB220114P00240000,2021-12-07 20:48:36,240.0,0.52,0.26,0.35,0.0,0.0,,7,0.5210008837890624,False,REGULAR,USD
7,FB220114P00245000,2021-12-13 15:01:48,245.0,0.23,0.32,0.41,0.0,0.0,1.0,17,0.5053760400390624,False,REGULAR,USD
8,FB220114P00250000,2021-12-13 15:35:48,250.0,0.25,0.4,0.49,0.0,0.0,2.0,7,0.49927258544921876,False,REGULAR,USD
9,FB220114P00255000,2021-12-14 16:08:29,255.0,0.54,0.5,0.58,0.13000003,31.707325,2.0,22,0.48291532714843755,False,REGULAR,USD
10,FB220114P00260000,2021-12-13 15:00:24,260.0,0.35,0.61,0.7,0.0,0.0,7.0,20,0.46851117431640626,False,REGULAR,USD
11,FB220114P00265000,2021-12-14 16:53:18,265.0,0.8,0.77,0.87,0.24000001,42.857143,3.0,21,0.45667047241210945,False,REGULAR,USD
12,FB220114P00270000,2021-12-14 16:10:07,270.0,1.07,1.0,1.08,0.29000008,37.179497,12.0,58,0.44507390869140623,False,REGULAR,USD
13,FB220114P00275000,2021-12-14 16:08:49,275.0,1.34,1.27,1.36,0.54,67.5,3.0,48,0.4351863122558594,False,REGULAR,USD
14,FB220114P00280000,2021-12-13 20:54:39,280.0,1.11,1.59,1.69,0.0,0.0,15.0,119,0.4243221630859375,False,REGULAR,USD
15,FB220114P00285000,2021-12-14 16:47:50,285.0,2.02,2.01,2.11,0.54999995,37.414963,16.0,112,0.4145566357421875,False,REGULAR,USD
16,FB220114P00290000,2021-12-14 16:58:44,290.0,2.57,2.47,2.61,0.66999996,35.263153,58.0,138,0.40405869384765625,False,REGULAR,USD
17,FB220114P00295000,2021-12-14 16:58:44,295.0,3.19,3.1,3.3,0.8200002,34.599163,67.0,165,0.39716179016113284,False,REGULAR,USD
18,FB220114P00300000,2021-12-14 16:52:38,300.0,3.96,3.85,4.0,1.1400001,40.425537,27.0,598,0.3850159155273437,False,REGULAR,USD
19,FB220114P00305000,2021-12-14 16:41:01,305.0,4.96,4.75,4.95,1.51,43.768116,18.0,148,0.3767762518310547,False,REGULAR,USD
20,FB220114P00310000,2021-12-14 16:15:02,310.0,6.2,5.85,6.05,1.9099998,44.52214,23.0,223,0.36737693176269537,False,REGULAR,USD
21,FB220114P00315000,2021-12-14 15:58:22,315.0,7.48,7.15,7.35,2.0900002,38.775513,8.0,521,0.3579165771484375,False,REGULAR,USD
22,FB220114P00320000,2021-12-14 15:00:00,320.0,8.5,8.75,9.0,2.0900002,32.60531,4.0,163,0.3517215707397461,False,REGULAR,USD
23,FB220114P00325000,2021-12-14 16:59:44,325.0,10.77,10.6,10.9,2.17,25.232557,93.0,64,0.3450993225097656,False,REGULAR,USD
24,FB220114P00330000,2021-12-14 16:59:44,330.0,13.0,12.85,13.1,3.0,30.0,52.0,74,0.3389348333740234,False,REGULAR,USD
25,FB220114P00335000,2021-12-14 16:03:03,335.0,15.68,15.35,15.65,3.6800003,30.66667,169.0,119,0.3341741387939453,True,REGULAR,USD
26,FB220114P00340000,2021-12-14 14:32:24,340.0,18.03,18.2,18.55,3.1200008,20.92556,3.0,37,0.3306951696777344,True,REGULAR,USD
27,FB220114P00345000,2021-12-14 16:25:56,345.0,22.17,21.25,21.75,4.0200005,22.148764,1.0,13,0.32746033874511715,True,REGULAR,USD
28,FB220114P00350000,2021-12-10 19:07:52,350.0,26.22,24.9,25.45,0.0,0.0,1.0,3,0.3308782733154296,True,REGULAR,USD
29,FB220114P00355000,2021-12-14 15:34:21,355.0,28.2,28.6,29.1,5.120001,22.183712,1.0,11,0.32556826782226556,True,REGULAR,USD
30,FB220114P00360000,2021-12-14 14:33:33,360.0,30.5,32.0,33.95,0.45000076,1.4975067,1.0,19,0.354376573486328,True,REGULAR,USD
31,FB220114P00365000,2021-12-13 18:13:22,365.0,34.35,36.2,38.35,0.0,0.0,7.0,10,0.3645083081054688,True,REGULAR,USD
32,FB220114P00370000,2021-12-06 15:37:07,370.0,56.93,40.6,42.9,0.0,0.0,,1,0.3765931481933594,True,REGULAR,USD
33,FB220114P00375000,2021-12-06 15:37:07,375.0,61.53,45.05,47.3,0.0,0.0,,1,0.3784852191162109,True,REGULAR,USD
